Key,KO,EN,JA
heroes.ssr_seal_mage.skills.arcane_missiles.name,"비전 화살",Arcane Missiles,秘術の矢
heroes.ssr_seal_mage.skills.arcane_missiles.desc,"적 1명에게 10연발 화살 발사 각 ATK×1.5",Fires 10 consecutive missiles at 1 enemy, each dealing ATK x1.5.,敵1体に10連発の矢を発射、各攻撃力x1.5。
heroes.ssr_seal_mage.skills.arcane_power.name,"신비의 마력",Arcane Power,神秘の魔力
heroes.ssr_seal_mage.skills.arcane_power.desc,"15초간 자신의 스킬 피해 2배 증가",Doubles self skill damage for 15s.,15秒間、自身のスキルダメージ2倍増加。
heroes.ssr_seal_mage.skills.blink_strike.name,"점멸 타격",Blink Strike,点滅打撃
heroes.ssr_seal_mage.skills.blink_strike.desc,"순간이동하며 5명의 적에게 각각 ATK×6 피해",Teleports and deals ATK x6 Damage to each of 5 enemies.,瞬間移動しながら5体の敵にそれぞれ攻撃力x6のダメージ。
heroes.ssr_seal_mage.skills.arcane_barrage.name,"비전의 홍수",Arcane Barrage,秘術の洪水
heroes.ssr_seal_mage.skills.arcane_barrage.desc,"전장 전체 무수한 비전 화살 폭격 ATK×20",Bombards the entire battlefield with countless arcane missiles for ATK x20.,戦場全体に無数の秘術の矢を爆撃、攻撃力x20。
heroes.ssr_field_commander.name,"전장의 지휘관",Field Commander,戦場の指揮官
heroes.ssr_field_commander.lore,"다섯 직종을 완벽히 이해하는 전설적인 지휘관. 그의 깃발 아래 아군은 무적의 군단이 된다.","Legendary commander who perfectly understands five roles. Under his banner, allies become an invincible legion.","5つの職種を完璧に理解する伝説の指揮官。彼の旗の下、味方は無敵の軍団となる。"
heroes.ssr_field_commander.routes.field_commander_tactic.name,"지휘",Command,指揮
heroes.ssr_field_commander.routes.field_commander_tactic.variantName,"완벽한 편성",Perfect Formation,完璧な編成
heroes.ssr_field_commander.routes.field_commander_tactic.variantDesc,"아군 전체 모든 능력치 {value}% 증가.","Increases All Allies' Stats by {value}%.","味方全体のすべての能力値{value}%増加。"
heroes.ssr_field_commander.skills.tactical_order.name,"전술 지시",Tactical Order,戦術指示
heroes.ssr_field_commander.skills.tactical_order.desc,"15초간 아군 전체 공격력/방어력 50% 증가",Increases ATK/DEF of all allies by 50% for 15s.,15秒間、味方全体の攻撃力・防御力50%増加。
heroes.ssr_field_commander.skills.rally.name,"방어 집결",Defensive Rally,防御集結
heroes.ssr_field_commander.skills.rally.desc,"아군 전체 즉시 HP 50% 회복 및 5초 무적",Immediately restores 50% HP and Invincible for 5s for all allies.,味方全体、即座にHP50%回復および5秒間無敵。
heroes.ssr_field_commander.skills.combined_assault.name,"연합 공격",Combined Assault,連合攻撃
heroes.ssr_field_commander.skills.combined_assault.desc,"아군 전체 다음 3회 공격 ATK 5배 보장 치명타",Next 3 attacks for all allies guaranteed Critical for 5x ATK.,味方全体の次の3回の攻撃、攻撃力5倍の確定会心。
heroes.ssr_field_commander.skills.banner_of_victory.name,"승리의 기치",Banner of Victory,勝利の旗印
heroes.ssr_field_commander.skills.banner_of_victory.desc,"전장에 깃발 소환: 주변 아군 공속 100% 증가",Summons a banner: Increases nearby allies' Attack Speed by 100%.,戦場に旗を召喚：周囲の味方の攻撃速度100%増加。
heroes.ssr_field_commander.skills.heroic_charge.name,"영웅적 돌격",Heroic Charge,英雄적突進
heroes.ssr_field_commander.skills.heroic_charge.desc,"전군 돌격: 모든 적 ATK×15 피해 및 20초간 아군 광분",Full charge: ATK x15 Damage to all enemies and Berserk all allies for 20s.,全軍突進：すべての敵に攻撃力x15のダメージおよび20秒間、味方全体を狂乱状態にする。
heroes.ssr_field_commander.routes.field_commander_bravery.name,"용맹",Bravery,勇敢
heroes.ssr_field_commander.routes.field_commander_bravery.variantName,"지휘관의 용기",Commander's Courage,指揮官の勇気
heroes.ssr_field_commander.routes.field_commander_bravery.variantDesc,"자신의 공격력 {value}% 만큼 주변 아군의 공격력이 증가합니다.","Increases nearby allies' ATK by {value}% of self ATK.","自身の攻撃力の{value}%分、周囲の味方の攻撃力が増加する。"
heroes.ssr_field_commander.skills.brave_strike.name,"용맹한 일격",Brave Strike,勇敢な一撃
heroes.ssr_field_commander.skills.brave_strike.desc,"단일 ATK×12 피해 및 3초 기절",Deals Single ATK x12 Damage and stuns for 3s.,単体に攻撃力x12のダメージおよび3秒間のスタン。
heroes.ssr_field_commander.skills.battle_shout.name,"전투의 외침",Battle Shout,戦闘の叫び
heroes.ssr_field_commander.skills.battle_shout.desc,"아군 전체 공격력 +100 영구 증가 (중첩 가능)","Permanently increases all allies' ATK by 100 (Stackable).","味方全体の攻撃力+100、永久増加（重複可能）。"
heroes.ssr_field_commander.skills.blade_of_honor.name,"명예의 검",Blade of Honor,名誉の剣
heroes.ssr_field_commander.skills.blade_of_honor.desc,"패시브: 자신의 모든 물리 피해 50% 증가",Passive: Increases self Physical Damage by 50.,パッシブ：自身のすべての物理ダメージ50%増加。
heroes.ssr_field_commander.skills.vanguard.name,"선봉장",Vanguard,先鋒長
heroes.ssr_field_commander.skills.vanguard.desc,"가장 앞에서 싸우며 10초간 받는 피해 80% 반사",Fights at the very front, reflecting 80% of damage taken for 10s.,最前線で戦い、10秒間受けるダメージの80%を反射。
heroes.ssr_field_commander.skills.war_lord_wrath.name,"지휘관의 진노",Warlord's Wrath,指揮官の憤怒
heroes.ssr_field_commander.skills.war_lord_wrath.desc,"전장 전체 적 ATK×25 피해 및 아군 전체 힐",Deals ATK x25 Damage to all enemies and heals all allies.,戦場全体の敵に攻撃力x25のダメージおよび味方全体を回復。
heroes.ssr_shadow_lord.name,"어둠의 군주",Shadow Lord,闇の君主
heroes.ssr_shadow_lord.lore,"모든 그림자를 지배하는 어둠의 절대자. 그의 눈길이 머무는 곳엔 오직 공포와 파멸뿐이다.","Absolute ruler of darkness who governs all shadows. Where his gaze lingers, there is only fear and ruin.","すべての影を支配する闇の絶対者。彼の眼差しが留まる場所には、ただ恐怖と破滅があるのみだ。"
heroes.ssr_shadow_lord.routes.shadow_lord_absolute.name,"절대 암흑",Absolute Darkness,絶対暗黒
heroes.ssr_shadow_lord.routes.shadow_lord_absolute.variantName,"암흑의 지배",Dark Mastery,暗黒の支配
heroes.ssr_shadow_lord.routes.shadow_lord_absolute.variantDesc,"암흑 피해 {value}% 증가.","Increases Shadow Damage by {value}%.","暗黒ダメージ{value}%増加。"
heroes.ssr_shadow_lord.skills.dark_spread.name,"어둠 확산",Dark Spread,闇の拡散
heroes.ssr_shadow_lord.skills.dark_spread.desc,"모든 적에게 10초간 암흑 DoT 적용 (ATK 100%/초)","Applies Shadow DoT to all enemies for 10s (ATK 100%/sec).","すべての敵に10秒間、暗黒DoTを適用（攻撃力100%/秒）。"
heroes.ssr_shadow_lord.skills.shadow_burst.name,"그림자 폭발",Shadow Burst,影の爆発
heroes.ssr_shadow_lord.skills.shadow_burst.desc,"타겟 주변 150px 모든 적 ATK×6 암흑 피해",Deals ATK x6 Shadow Damage to all enemies within 150px around target.,ターゲット周囲150pxのすべての敵に攻撃力x6の暗黒ダメージ。
heroes.ssr_shadow_lord.skills.soul_drain.name,"영혼 흡수",Soul Drain,魂の吸収
heroes.ssr_shadow_lord.skills.soul_drain.desc,"패시브: 모든 피해의 30%를 자신에게 흡혈",Passive: 30% Life Steal from all damage dealt.,パッシブ：すべてのダメージの30%を自身に吸血。
heroes.ssr_shadow_lord.skills.curse_of_doom.name,"파멸의 저주",Curse of Doom,破滅の呪い
heroes.ssr_shadow_lord.skills.curse_of_doom.desc,"적 1명에게 15초 후 ATK×30 피해",Deals ATK x30 Damage to 1 enemy after 15s.,敵1体に15秒後、攻撃力x30のダメージ。
heroes.ssr_shadow_lord.skills.dark_dominion.name,"암흑의 지배",Dark Dominion,暗黒の支配
heroes.ssr_shadow_lord.skills.dark_dominion.desc,"전장 암흑화: 모든 적 DEF 0, ATK 0이 되어 10초간 일방적 학살",Battlefield Darkened: All enemies' DEF and ATK become 0, leading to a one-sided slaughter for 10s.,戦場の暗黒化：すべての敵の防御力と攻撃力が0になり、10秒間、一方的に虐殺する。
heroes.ssr_shadow_lord.routes.shadow_lord_terror.name,"공포",Fear,恐怖
heroes.ssr_shadow_lord.routes.shadow_lord_terror.variantName,"공포의 지배",Terror Mastery,恐怖の支配
heroes.ssr_shadow_lord.routes.shadow_lord_terror.variantDesc,"공격 시 {value}% 확률로 적을 2초간 공포 상태로 만듭니다.","When Attack, {value}% Chance to Fear the enemy for 2s.","攻撃時{value}%の確率で敵を2秒間、恐怖状態にする。"
heroes.ssr_shadow_lord.skills.fear_wave.name,"공포의 파동",Fear Wave,恐怖の波動
heroes.ssr_shadow_lord.skills.fear_wave.desc,"전방 모든 적에게 공포 3초 + ATK×4 피해",Deals ATK x4 Damage and Fears all enemies in front for 3s.,前方のすべての敵に3秒間の恐怖 + 攻撃力x4のダメージ。
heroes.ssr_shadow_lord.skills.nightmare.name,"악몽",Nightmare,悪夢
heroes.ssr_shadow_lord.skills.nightmare.desc,"가장 강력한 적 1명을 8초간 수면 상태로 만듬",Puts the strongest enemy to sleep for 8s.,最強の敵1体を8秒間、睡眠状態にする。
heroes.ssr_shadow_lord.skills.mind_shatter.name,"정신 붕괴",Mind Shatter,精神崩壊
heroes.ssr_shadow_lord.skills.mind_shatter.desc,"대상 적 전체 ATK×8 피해 및 침묵 5초",Deals ATK x8 Damage to all target enemies and silences for 5s.,対象の敵全体に攻撃力x8のダメージおよび5秒間の沈黙。
heroes.ssr_shadow_lord.skills.summon_horror.name,"공포의 환영",Summon Horror,恐怖の幻影召喚
heroes.ssr_shadow_lord.skills.summon_horror.desc,"적의 공포를 실체화한 환영 소환 (CC)",Summons a horror that materializes enemy's fear (CC).,敵の恐怖を実体化した幻影を召喚（CC）。
heroes.ssr_shadow_lord.summons.shadow_image.name,"심연의 환영",Abyssal Image,深淵の幻影
heroes.ssr_shadow_lord.skills.world_of_fear.name,"공포의 세계",World of Fear,恐怖の世界
heroes.ssr_shadow_lord.skills.world_of_fear.desc,"전장 전체 적을 10초간 조종 불능 상태로 만듬",Makes all enemies on the battlefield uncontrollable for 10s.,戦場全体の敵を10秒間、操作不能状態にする。
heroes.ssr_light_pope.name,"빛의 교황",Light Pope,光の教皇
heroes.ssr_light_pope.lore,"빛의 교단 최고 수장. 그의 신성은 전장을 정화하고 아군을 무적의 군단으로 만든다.","Supreme head of the Order of Light. His divinity purifies the battlefield and makes allies an invincible legion.","光の教団の最高首長。彼の神性は戦場を浄化し、味方を無敵の軍団にする。"
heroes.ssr_light_pope.routes.light_pope_sanctity.name,"신성",Sanctity,神聖
heroes.ssr_light_pope.routes.light_pope_sanctity.variantName,"교황의 강복",Pope's Blessing,教皇の祝福
heroes.ssr_light_pope.routes.light_pope_sanctity.variantDesc,"힐량 {value}% 증가 및 모든 힐 전파.","Increases healing by {value}% and spreads all heals.","回復量{value}%増加およびすべての回復を伝播。"
heroes.ssr_light_pope.skills.holy_hope.name,"성스러운 희망",Holy Hope,聖なる希望
heroes.ssr_light_pope.skills.holy_hope.desc,"모든 아군 HP 완전 회복 + 10초간 피해 30% 감소",Full Restore HP for all allies + 30% Damage Reduction for 10s.,すべての味方のHPを完全回復 + 10秒間ダメージ30%減少。
heroes.ssr_light_pope.skills.celestial_hymn.name,"천상의 찬가",Celestial Hymn,天上の賛歌
heroes.ssr_light_pope.skills.celestial_hymn.desc,"20초간 매초 아군 전체 최대HP의 5% 회복",Restores 5% of Max HP to all allies every second for 20s.,20秒間、味方全体の最大HPの5%を毎秒回復。
heroes.ssr_light_pope.skills.miracle.name,"기적",Miracle,奇跡
heroes.ssr_light_pope.skills.miracle.desc,"사망 아군 전원 HP 100% 부활 + 5초 무적 (판당 1회)",Resurrect all dead allies with 100% HP + Invincible for 5s (Once per game).,死亡した味方全員をHP100%で復活 + 5秒間無敵（対戦中1回）。
heroes.ssr_light_pope.skills.divine_judgement.name,"신의 심판",Divine Judgement,神の審判
heroes.ssr_light_pope.skills.divine_judgement.desc,"모든 적 기절 3초 + 전체 아군 치유",Stuns all enemies for 3s + heals all allies.,すべての敵を3秒間スタン + 味方全体を回復。
heroes.ssr_light_pope.skills.holy_avatar.name,"신성의 화신",Holy Avatar,神性の化身
heroes.ssr_light_pope.skills.holy_avatar.desc,"자신이 완전한 신성 화신 변신: 모든 능력 3배, 30초 지속",Transforms into a complete Holy Avatar: 3x all stats, lasts 30s.,自身が完全な神性の化身に変身：すべての能力3倍、30秒間持続。
heroes.ssr_light_pope.routes.light_pope_inquisition.name,"이단심문",Inquisition,異端審問
heroes.ssr_light_pope.routes.light_pope_inquisition.variantName,"이단의 불꽃",Inquisitor's Flame,異端の火炎
heroes.ssr_light_pope.routes.light_pope_inquisition.variantDesc,"공격 시 {value}% 확률로 대상을 정화하여 ATK×5 추가 피해.","When Attack, {value}% Chance to Purify the target for additional ATK x5 damage.","攻撃時{value}%の確率で対象を浄化し、攻撃力x5の追加ダメージ。"
heroes.ssr_light_pope.skills.purge.name,"정화",Purge,浄化
heroes.ssr_light_pope.skills.purge.desc,"대상 적 모든 버프 해제 및 ATK×8 신성 피해",Removes all buffs from target and deals ATK x8 Holy Damage.,対象の敵のすべてのバフを解除し、攻撃力x8の神聖ダメージ。
heroes.ssr_light_pope.skills.holy_fire.name,"신성한 불꽃",Holy Fire,神聖なる火炎
heroes.ssr_light_pope.skills.holy_fire.desc,"지속적인 신성 피해 및 아군 힐",Continuous Holy Damage and heals allies.,持続的な神聖ダメージおよび味方を回復。
heroes.ssr_light_pope.skills.inquisition_seal.name,"심문의 인장",Seal of Inquisition,審問の印章
heroes.ssr_light_pope.skills.inquisition_seal.desc,"대상에게 인장을 부여하여 받는 모든 피해 2배 증가",Grants a seal to the target, doubling all damage taken.,対象に印章を付与し、受けるすべてのダメージを2倍に増やす。
heroes.ssr_light_pope.skills.light_lance.name,"빛의 창",Light Lance,光の槍
heroes.ssr_light_pope.skills.light_lance.desc,"관통하는 거대 빛의 창 투척 ATK×12",Throws a giant piercing light lance for ATK x12 Damage.,貫通する巨大な光の槍を投げ、攻撃力x12のダメージ。
heroes.ssr_light_pope.skills.divine_wrath.name,"신의 진노",Divine Wrath,神の憤怒
heroes.ssr_light_pope.skills.divine_wrath.desc,"전장 전체에 빛의 소나기 투하: 모든 적 50% 즉사",Drops a shower of light on entire battlefield: 50% Instant Kill chance for all enemies.,戦場全体に光の雨を降らせる：すべての敵に50%の確率で即死。
heroes.ssr_fire_seer.name,"화염의 선견자",Fire Seer,火炎の先見者
heroes.ssr_fire_seer.lore,"미래의 불꽃을 보는 화염 예언자. 전장의 모든 흐름을 화염의 예언으로 뒤바꾼다.","Fire prophet who sees future flames. Changes the battlefield flow with fire prophecies.","未来の火炎を見る火炎の預言者。戦場のすべての流れを火炎の預言で塗り替える。"
heroes.ssr_fire_seer.routes.fire_seer_prophecy.name,"예언",Prophecy,預言
heroes.ssr_fire_seer.routes.fire_seer_prophecy.variantName,"화염 예언",Fire Prophecy,火炎の預言
heroes.ssr_fire_seer.routes.fire_seer_prophecy.variantDesc,"스킬 피해 {value}% 증가.","Increases Skill Damage by {value}%.","スキルダメージ{value}%増加。"
heroes.ssr_fire_seer.skills.prophecy_flame.name,"불꽃 예언",Flame Prophecy,火炎の預言
heroes.ssr_fire_seer.skills.prophecy_flame.desc,"다음 10초간 적의 이동을 방해하는 불꽃 함정 설치",Sets flame traps that hinder enemy movement for the next 10s.,次の10秒間、敵の移動を妨害する火炎の罠を設置。
heroes.ssr_fire_seer.skills.holy_flame.name,"화염 선포",Holy Flame,火炎の宣告
heroes.ssr_fire_seer.skills.holy_flame.desc,"전체 적에게 화상 부여: 10초간 ATK 100%/초",Burns all enemies: ATK 100%/sec for 10s.,すべての敵に火傷を付与：10秒間、攻撃力100%/秒。
heroes.ssr_fire_seer.skills.purifying_fire.name,"정화의 불꽃",Purifying Fire,浄化の火炎
heroes.ssr_fire_seer.skills.purifying_fire.desc,"가장 강력한 적 1명에게 ATK×15 정화 화염 피해",Deals ATK x15 Purifying Fire Damage to the strongest enemy.,最強の敵1体に攻撃力x15の浄化の火炎ダメージ。
heroes.ssr_fire_seer.skills.flame_vision.name,"불꽃의 통찰",Flame Vision,火炎の洞察
heroes.ssr_fire_seer.skills.flame_vision.desc,"패시브: 아군 전체 치명타 확률 +20%","Passive: Increases All Allies' Critical Chance by 20%.,パッシブ：味方全体の会心確率+20%。"
heroes.ssr_fire_seer.skills.solar_burst.name,"태양 폭발",Solar Burst,太陽爆発
heroes.ssr_fire_seer.skills.solar_burst.desc,"태양 에너지 집중 폭발: 전장 전체 ATK×15 화염 피해",Concentrated solar energy explosion: ATK x15 Fire Damage to entire battlefield.,太陽エネルギー集中爆発：戦場全体に攻撃力x15の火炎ダメージ。
heroes.ssr_fire_seer.routes.fire_seer_elemental.name,"정령",Elemental,精霊
heroes.ssr_fire_seer.routes.fire_seer_elemental.variantName,"정령의 격노",Elemental Wrath,精霊の激怒
heroes.ssr_fire_seer.routes.fire_seer_elemental.variantDesc,"공격 시 {value}% 확률로 타겟 주변에 화염 정령 폭발 발생.","When Attack, {value}% Chance for fire elemental explosion around the target.","攻撃時{value}%の確率でターゲット周囲に火炎精霊の爆発が発生。"
heroes.ssr_fire_seer.skills.lava_burst.name,"용암 폭발",Lava Burst,溶岩噴火
heroes.ssr_fire_seer.skills.lava_burst.desc,"단일 ATK×8 확정 치명타 피해",Deals Single ATK x8 Guaranteed Critical Damage.,単体に攻撃力x8の確定会心ダメージ。
heroes.ssr_fire_seer.skills.flame_shield.name,"불타는 갑옷",Flame Shield,燃える鎧
heroes.ssr_fire_seer.skills.flame_shield.desc,"아군 전체 방어력 +40 및 근접 공격 반사",Increases all allies' DEF by 40 and reflects melee attacks.,味方全体の防御力+40および近接攻撃を反射。
heroes.ssr_fire_seer.skills.summon_fire_ele.name,"불의 정령 소환",Summon Fire Elemental,火の精霊召喚
heroes.ssr_fire_seer.skills.summon_fire_ele.desc,"강력한 불의 정령 2마리 소환 (상시)",Summons 2 powerful Fire Elementals (Permanent).,強力な火の精霊2体を召喚（常時）。
heroes.ssr_fire_seer.summons.fire_elemental.name,"불의 정령",Fire Elemental,火の精霊
heroes.ssr_fire_seer.skills.fire_tempest.name,"화염의 태풍",Fire Tempest,火炎の台風
heroes.ssr_fire_seer.skills.fire_tempest.desc,"전장에 거대한 불의 회오리 소환: 적을 끌어당기고 불태움",Summons a giant fire whirlwind: Pulls and burns enemies.,戦場に巨大な火の旋風を召喚：敵を引き寄せ、焼き尽くす。
heroes.ssr_fire_seer.skills.cataclysm_seer.name,"대격변의 예언",Cataclysm Prophecy,大激変の預言
heroes.ssr_fire_seer.skills.cataclysm_seer.desc,"세상의 종말을 부르는 화염 폭격: 모든 적 소멸",Flame bombardment calling the end of the world: Eliminates all enemies.,世界の終焉を呼ぶ火炎爆撃：すべての敵を消滅させる。
heroes.ssr_forest_king.name,"숲의 정령왕",Forest Spirit King,森の精霊王
heroes.ssr_forest_king.lore,"숲 전체를 몸으로 삼는 자연의 수호신. 그의 뿌리가 닿는 곳은 곧 그의 영토다.","Guardian deity of nature who takes the entire forest as his body. Where his roots reach is his territory.","森全体を体とする自然の守護神。彼の根が届く場所はすなわち彼の領土だ。"
heroes.ssr_forest_king.routes.forest_king_nature.name,"자연 수호",Nature Guardian,自然守護
heroes.ssr_forest_king.routes.forest_king_nature.variantName,"고대 수호",Ancient Protection,古代の守護
heroes.ssr_forest_king.routes.forest_king_nature.variantDesc,"받는 피해 {value}% 감소 및 매초 HP 1% 회복.","Reduces Damage Taken by {value}% and restores 1% HP every second.","受けるダメージ{value}%減少および毎秒HP1%回復。"
heroes.ssr_forest_king.skills.nature_barrier.name,"자연의 장벽",Nature Barrier,自然の障壁
heroes.ssr_forest_king.skills.nature_barrier.desc,"15초간 모든 아군에게 HP 30% 보호막 + 속박 면역",30% HP Shield + Root Immunity for all allies for 15s.,15秒間、すべての味方にHP30%のシールド + 束縛無効。
heroes.ssr_forest_king.skills.vine_entangle.name,"덩굴 속박",Entangling Roots,蔦の束縛
heroes.ssr_forest_king.skills.vine_entangle.desc,"모든 적 10초 속박 + ATK×1/초 자연 피해",Roots all enemies for 10s + deals ATK x1/sec Nature Damage.,すべての敵を10秒間束縛 + 攻撃力x1/秒の自然ダメージ。
heroes.ssr_forest_king.skills.world_tree.name,"생명의 나무",Tree of Life,生命の樹
heroes.ssr_forest_king.skills.world_tree.desc,"20초간 아군 전체 매초 HP 5% 회복 + DEF +50",Restores 5% HP every second + 50 DEF for all allies for 20s.,20秒間、味方全体を毎秒5%回復 + 防御力+50。
heroes.ssr_forest_king.skills.ironbark.name,"무쇠껍질",Ironbark,アイアンバーク
heroes.ssr_forest_king.skills.ironbark.desc,"아군 전체 10초간 피해 50% 감소",Reduces damage taken by 50% for all allies for 10s.,味方全体、10秒間ダメージ50%減少。
heroes.ssr_forest_king.skills.forest_wrath.name,"숲의 분노",Wrath of the Forest,森の憤怒
heroes.ssr_forest_king.skills.forest_wrath.desc,"전장 전체 나무 괴수 소환: ATK×10 광역 피해 + 5초 기절",Summons forest monsters: ATK x10 AoE Damage + 5s Stun.,戦場全体に樹木の怪獣を召喚：攻撃力x10の広範囲ダメージ + 5秒間のスタン。
heroes.ssr_forest_king.routes.forest_king_wild.name,"야생",Wild,野生
heroes.ssr_forest_king.routes.forest_king_wild.variantName,"야생의 힘",Wild Power,野生の力
heroes.ssr_forest_king.routes.forest_king_wild.variantDesc,"공격 시 {value}% 확률로 2초간 공격속도가 200% 증가합니다.","When Attack, {value}% Chance to increase Attack Speed by 200% for 2s.","攻撃時{value}%の確率で2秒間、攻撃速度が200%増加する。"
heroes.ssr_forest_king.skills.feral_strike.name,"야생의 타격",Feral Strike,野生の打撃
heroes.ssr_forest_king.skills.feral_strike.desc,"단일 ATK×12 물리 피해 + 출혈",Deals Single ATK x12 Physical Damage + Bleeding.,単体に攻撃力x12の物理ダメージ + 出血。
heroes.ssr_forest_king.skills.roar_of_beast.name,"맹수의 포효",Roar of the Beast,猛獣の咆哮
heroes.ssr_forest_king.skills.roar_of_beast.desc,"아군 전체 공격력 +50% 및 이동속도 증가",Increases all allies' ATK by 50% and Move Speed.,味方全体の攻撃力+50%および移動速度増加。
heroes.ssr_forest_king.skills.summon_ancient.name,"고대 정령 소환",Summon Ancient,古代の精霊召喚
heroes.ssr_forest_king.skills.summon_ancient.desc,"강력한 고대 정령 1명 소환 (상시 탱커)",Summons 1 powerful Ancient (Permanent Tank).,強力な古代の精霊1体を召喚（常時タンク）。
heroes.ssr_forest_king.summons.ancient_spirit.name,"고대 정령",Ancient Spirit,古代の精霊
heroes.ssr_forest_king.skills.wild_growth_atk.name,"야생 성장(공격)",Wild Growth (Attack),野生の成長（攻撃）
heroes.ssr_forest_king.skills.wild_growth_atk.desc,"패시브: 아군 공격 시 {value}% 확률로 추가 자연 피해","Passive: {value}% Chance for additional Nature Damage upon allies' attack.","パッシブ：味方の攻撃時{value}%の確率で追加の自然ダメージ。"
heroes.ssr_forest_king.skills.wrath_of_nature.name,"자연의 격노",Wrath of Nature,自然の激怒
heroes.ssr_forest_king.skills.wrath_of_nature.desc,"전장 전체 태풍 소환: 적들을 띄워 올리고 ATK×15 피해",Summons typhoons across the battlefield: Lifts enemies and deals ATK x15 Damage.,戦場全体に台風を召喚：敵を浮かせ、攻撃力x15のダメージ。
heroes.ssr_glacier_overlord.name,"빙하의 지배자",Glacier Overlord,氷河の支配者
heroes.ssr_glacier_overlord.lore,"세상을 얼려버릴 수 있는 빙하의 절대 지배자. 그의 숨결 아래 시간조차 얼어붙는다.","Absolute ruler of the glaciers who can freeze the world. Under his breath, even time freezes.","世界を凍らせることができる氷河の絶対적支配者。彼の吐息の下では、時間すらも凍りつく。"
heroes.ssr_glacier_overlord.routes.glacier_overlord_absolute.name,"절대 빙결",Absolute Freeze,絶対氷結
heroes.ssr_glacier_overlord.routes.glacier_overlord_absolute.variantName,"절대 영도",Absolute Zero,絶対零度
heroes.ssr_glacier_overlord.routes.glacier_overlord_absolute.variantDesc,"슬로우 효과 {value}% 강화 및 빙결 상태 적 추가 피해.","Enhances Slow effect by {value}% and extra damage to frozen enemies.","スロウ効果を{value}%強化し、氷結状態の敵への追加ダメージ。"
heroes.ssr_glacier_overlord.skills.absolute_freeze.name,"절대 빙결",Absolute Freeze,絶対氷結
heroes.ssr_glacier_overlord.skills.absolute_freeze.desc,"모든 적 10초 완전 동결 (완전 정지)",Completely freezes all enemies for 10s (Full Stop).,すべての敵を10秒間、完全凍結（完全停止）。
heroes.ssr_glacier_overlord.skills.glacier_move.name,"빙하 이동",Glacial Move,氷河移動
heroes.ssr_glacier_overlord.skills.glacier_move.desc,"빙하를 생성하며 이동, 경로의 모든 적 즉시 빙결",Moves while creating glaciers, immediately freezing all enemies in the path.,氷河を生成しながら移動し、経路のすべての敵を即座に氷結させる。
heroes.ssr_glacier_overlord.skills.permafrost.name,"영구 결빙",Permafrost,永久結氷
heroes.ssr_glacier_overlord.skills.permafrost.desc,"적들에게 영구 40% 슬로우 부여 (해제 불가)",Grants permanent 40% Slow to enemies (Indispellable).,敵に永久40%のスロウを付与（解除不可）。
heroes.ssr_glacier_overlord.skills.frost_armor_aura.name,"한기 갑옷 오라",Frost Armor Aura,冷気アーマーのオーラ
heroes.ssr_glacier_overlord.skills.frost_armor_aura.desc,"패시브: 아군 전체 방어력 +50 및 피격 적 슬로우",Passive: Increases all allies' DEF by 50 and slows attackers.,パッシブ：味方全体の防御力+50および被弾した敵にスロウ。
heroes.ssr_glacier_overlord.skills.ice_age.name,"빙하기",Ice Age,氷河期
heroes.ssr_glacier_overlord.skills.ice_age.desc,"전장 전체 빙하기 도래: 모든 적 즉사 (보스는 ATK×30 피해)",Ice Age arrives: Instant Kill all enemies (Bosses take ATK x30 Damage).,戦場全体に氷河期到来：すべての敵を即死（ボスは攻撃力x30のダメージ）。
heroes.ssr_glacier_overlord.routes.glacier_overlord_shatter.name,"파쇄",Shatter,破砕
heroes.ssr_glacier_overlord.routes.glacier_overlord_shatter.variantName,"빙결 파쇄",Frost Shatter,氷結破砕
heroes.ssr_glacier_overlord.routes.glacier_overlord_shatter.variantDesc,"냉기 피해 시 {value}% 확률로 대상에게 최대 HP의 10% 추가 피해.","When Frost damage dealt, {value}% Chance to deal 10% Max HP extra damage.","冷気ダメージ時{value}%の確率で対象に最大HPの10%の追加ダメージ。"
heroes.ssr_glacier_overlord.skills.ice_spear.name,"얼음 창",Ice Spear,氷の槍
heroes.ssr_glacier_overlord.skills.ice_spear.desc,"빙결된 적에게 3배의 피해를 입히는 창 투척",Throws a spear dealing 3x damage to frozen enemies.,氷結した敵に3倍のダメージを与える槍を投げる。
heroes.ssr_glacier_overlord.skills.shatter_burst.name,"산산조각",Shatter Burst,粉砕
heroes.ssr_glacier_overlord.skills.shatter_burst.desc,"대상 적 전체 빙결 해제 및 폭발 피해 ATK×12",Removes freeze from all target enemies and deals ATK x12 explosion damage.,対象の敵全体の氷結を解除し、攻撃力x12の爆発ダメージ。
heroes.ssr_glacier_overlord.skills.cold_heart.name,"냉정한 심장",Cold Heart,冷酷な心
heroes.ssr_glacier_overlord.skills.cold_heart.desc,"패시브: 자신의 모든 냉기 피해 60% 증가",Passive: Increases self Frost Damage by 60%.,パッシブ：自身のすべての冷気ダメージ60%増加。
heroes.ssr_glacier_overlord.skills.hailstorm.name,"우박 폭풍",Hailstorm,雹の嵐
heroes.ssr_glacier_overlord.skills.hailstorm.desc,"전장에 거대 우박 투하: 적 기절 및 지속 피해",Drops giant hail on the battlefield: Stuns and deals continuous damage.,戦場に巨大な雹を投下：敵をスタンさせ持続ダメージ。
